assessmentItemID,keyword
advanced4715,"['고려', '초기', '제작', '말', '충청남도', '논산시', '관', '촉', '사', '불상', '은지', '미륵', '말', '불상', '발견', '기록', '고려 광종', '때', '것', '말', '마지막', '파격', '미', '감각', '년', '국보', '호로', '승격', '내용', '제시', '해당', '문화유산', '논산', '관', '촉', '사', '석조', '진', '미륵보살', '입', '상임', '수']"
advanced4716,"['화면', '그림', '변발', '호', '복', '무사', '말', '머리 모양', '복장', '지배층', '사이에서', '유행', '시기', '사실', '말', '내용', '고려', '대', '왕인', '공민왕', '재위', '것', '추정', '변발', '호', '복', '몽골', '풍습', '이자', '고유', '의상', '몽골풍', '유행', '원 간섭기', '관련', '것', '수', '있다', '원 간섭기', '원종', '환', '도령', '강화도', '개경', '환도', '한', '년', '시작', '개경', '환도', '이후', '공민왕', '반원', '정책', '원', '간섭', '탈피', '도병마사', '도평의사사', '개편', '것', '원', '간섭', '이후', '일', '이다', '충렬왕', '권문세족', '원 간섭기', '지배', '세력', '명칭']"
advanced4717,"['왼쪽', '말풍선', '장영실', '님', '국왕', '명', '이번', '시각', '자격루', '제작', '작동', '원리', '설명', '말', '오른쪽', '말풍선', '물', '받이', '통', '물', '지렛대', '힘', '쇠', '구슬', '인형', '작동', '종', '북', '징', '팻말', '시각', '고안', '말', '자격루', '자동', '시보', '장치', '물시계', '세종', '년', '년', '장영실', '1390년', '경', '김', '조', '이천', '등', '제시', '국왕', '조선', '대', '왕인', '세종', '재위', '수', '화약', '화기', '제조', '임시', '관청', '화통도감', '설치', '것', '고려 우왕', '년', '1377년', '일', '창', '왕', '원년', '년', '조준', '상소', '폐지']"
advanced4718,"['조선', '건국', '과정', '제목', '하', '이성계', '위화도', '회군', '정권', '장악', '내용', '고려 우왕', '년', '1388년', '일', '한양', '도읍', '경복궁', '건설', '내용', '한양', '천도', '1394년', '태조', '일', '조준', '등', '건의', '과전법', '제정', '토지', '제도', '개혁', '내용', '고려 공양왕', '년', '1391년', '일', '순서', '나열']"
advanced4719,"['왼쪽', '말풍선', '직전', '폐단', '이번', '제도', '마련', '말', '가운데', '말풍선', '수조권', '관리', '농민', '전세', '과다', '수취', '것', '문제', '말', '오른쪽', '말풍선', '소재지', '관청', '생산량', '조사', '전세', '후', '지급', '말', '제시', '제도', '성종', '원년', '년', '시행', '관수', '관급', '수', '성종', '년', '년', '세조', '때', '착수', '한', '조선', '기본', '법전', '경국대전', '완성']"
advanced4720,"['조선', '시대', '유학', '교육', '지방', '설립', '교육', '기관', '이다', '내용', '대부분', '관아', '곳', '성전', '중심', '제사', '공간', '명륜당', '중심', '강학', '공간', '내용', '마지막', '입학', '정원', '고을', '위상', '크기', '학생', '소학', '사서오경', '내용', '제시', '자료', '속', '교육', '기관', '향교', '임', '수', '중앙', '향교', '교수', '훈도', '파견']"
advanced4721,"['유자', '광', '김종직', '문집', '가운데', '조의제문', '지적', '추', '관', '말', '세조', '지목', '것', '김일손', '죄악', '김종직', '것', '주석', '왕', '내용', '김종직', '조의제문', '연산군', '4년', '발생', '무오사화', '수', '조광조', '정국공신', '년', '일', '허위', '뒤', '개정', '수', '날', '것', '말', '한', '내용', '정암', '조광조', '개혁', '정치', '중', '위훈', '삭제', '관련', '것', '중종', '14년', '발생', '기묘사화', '빌미', '사실', '중종반정', '연산군', '폐위', '것', '1506년', '일', '참고', '중종', '당시', '연산군', '이복', '동생', '진성', '대군']"
advanced4722,"['무기', '불랑기포', '라고', '서양', '명', '전래', '때문', '내용', '불랑기포', '당시', '명', '연합군', '일본군', '평양성', '탈환', '데', '기여', '내용', '명', '연합군', '일본군', '평양성', '탈환', '것', '임진왜란', '때', '일', '이다', '평양성', '전투', '임진왜란', '년', '10월', '김시민', '진주성', '적군', '제1차 진주성 전투', '제2차 진주성 전투', '이듬해', '년', '6월']"
advanced4723,"['양', '역', '폐단', '개선', '논의', '호포', '결', '포', '문제점', '군포', '필', '법', '시행', '것', '내용', '경', '필', '때', '세입', '감소', '수', '대책', '강', '구하라', '내용', '군포', '필', '법', '시행', '앞', '말', '영조', '년', '년', '시행', '균역법', '임', '수', '균역법', '시행', '세입', '결작', '결', '당', '쌀', '두', '해', '세', '어장', '세', '염세', '선박', '세', '선', '군관', '포', '부유', '양민', '선', '군관', '칭호', '년', '군포', '필', '징수']"
advanced4724,"['조선', '시대', '국왕', '문제', '단계', '힌트', '단계', '힌트', '단계', '힌트', '조선', '대', '국왕', '점', '정조', '재위', '단계', '힌트', '초계문신', '시행', '이다', '정조', '단계', '힌트', '신해통공', '실시', '정조', '단계', '힌트', '규장각', '설치', '이다', '정조', '즉위', '년', '제시', '선지', '중', '단계', '힌트', '수', '것', '수원 화성', '건설', '이다']"
advanced4725,"['경상도', '영덕', '가문', '남인', '신향', '서인', '자칭', '자', '내용', '요즘', '서인', '향교', '장악', '향', '마찰', '중', '주자', '초상화', '비', '신향', '주자', '초상화', '송시열', '초상화', '남인', '말', '내용', '향촌', '사회', '신향', '향', '마찰', '내용', '조선', '후기', '신향', '등장', '신향', '향', '사이', '향', '전', '것', '수', '중인', '역', '관', '시사', '문예', '활동', '것', '조선', '후기', '일', '상평통보', '유통', '시작', '것', '숙종', '4년', '이후', '일', '이다', '조선', '후기', '허적', '권대운', '건의']"
advanced4726,"['책', '성호사설', '평소', '학문', '연구', '기록', '글', '제자', '질문', '것', '정리', '백과전서', '류', '저서', '이다', '내용', '천지', '문', '만물', '문', '인사', '문', '경사', '문', '시문', '문', '등', '개', '부분', '구성', '인사문', '노', '비제', '과거제', '벌열', '등', '나라', '가지', '좀벌레', '규정', '비판', '내용', '있다', '내용', '제시', '중농', '학파', '경세치용', '학파', '실학자', '성호', '이익', '수', '참고', '벌열', '이란', '사전', '의미', '나라', '공로', '벼슬', '경력', '것', '집안', '뜻', '말', '세도가', '권세', '양반', '정도', '것', '이해', '하면 된다', '성호', '이익', '곽', '우', '록', '토지', '매매', '제한', '한전론', '제시']"
advanced4727,"['조선', '후기', '회', '화전', '제목', '하', '왼쪽', '말풍선', '그림', '겸재', '한양', '근교', '경치', '경', '교', '명승', '첩', '중', '작품', '이다', '말', '오른쪽', '말풍선', '우리나라', '산천', '사실', '표현', '진경', '산수화', '대표', '화가', '금강', '전도', '작품', '말', '제시', '자료', '말', '겸재', '정선', '수', '제시', '선지', '중', '금강', '전도', '정선', '대표작', '왕제', '색도', '이다', '1751년', '작', '황혼', '나이', '완성', '참고', '자료', '속', '그림', '명칭', '광진', '이다', '1741년', '작', '광진', '서울', '광진구', '광장동', '아차산', '일대', '모습', '작품']"
advanced4728,"['불상', '고창 선운사 동불암지 마애여래좌상', '이다', '내용', '불상', '안', '비기', '세상', '날', '나라', '이야기', '내용', '마지막', '예언', '사상', '안동 김씨', '등', '왕실', '외척', '소수', '특정', '가문', '비변사', '중심', '권력', '독점', '시기', '내용', '제시', '시기', '19세기', '전반', '세도 정치', '시기', '수', '을사사화', '발생', '것', '명종', '즉위', '년', '1545년', '일']"
advanced4729,"['프랑스', '의궤', '사본', '발견', '제목', '하', '프랑스', '년', '전후', '제작', '것', '추정', '의궤', '사본', '발견', '내용', '당시', '프랑스군', '약탈', '외규장각', '의궤', '중', '헌종', '대왕', '국장', '도감', '의궤', '효현왕후', '국장', '도감', '의궤', '프랑스인', '것', '사본', '발견', '내용', '제시', '고종', '년', '년', '10월', '프랑스군', '침략', '발생', '병인양요', '임', '수', '참고', '의궤', '조선', '시대', '왕실', '국가', '행사', '때', '후세', '참고', '수', '일체', '관련', '사실', '그림', '문자', '정리', '책', '병인양요', '발생', '병인', '동년', '2월', '프랑스', '국적', '천주교', '선교사', '신자', '처형', '것', '수', '있다', '병인박해', '사실', '병인박해', '해', '장기간', '진행']"
advanced4730,"['왕이', '창덕궁', '인정전', '즉위', '그때', '나이', '살', '신정', '익', '황후', '수렴청정', '내용', '아버지', '흥', '선', '군', '대원군', '정사', '참여', '신하', '예', '대우', '내용', '제시', '왕', '조선', '대', '왕인', '고종', '재위', '수', '고종', '아버지', '흥', '선', '대원군', '이때', '집권', '이후', '각종', '개혁', '정책', '참고', '신정', '익', '황후', '조대비', '년', '2월', '수렴청정', '철', '렴', '이후', '고종', '친정', '시작', '신정', '익', '황후', '순조', '자인', '익종', '왕비', '이자', '헌종', '어머니', '최익현', '상소', '대원군', '잘못', '탄핵', '자리', '국정', '관여', '자', '지위', '자리', '녹', '때문', '한', '내용', '대원군', '분노', '양주', '직', '곡', '권력', '왕비', '인', '민', '씨', '손아귀', '내용', '제시', '자료', '흥', '선', '대원군', '최익현', '탄핵', '상소', '계기', '정계', '강제', '은퇴', '사실', '수', '있다', '고종', '친정', '체제', '전환', '흥', '선', '대원군', '집권', '시기', '사실', '문제', '환곡', '폐단', '시정', '흥', '선', '대원군', '이', '사창제', '실시', '것', '고종', '년', '1867년', '일', '기존', '환곡', '개선', '마을', '단위', '운영', '사창제', '실시', '농민', '부담', '것', '이다', '1873년', '11월', '대원군', '하야', '유명무실']"
advanced4731,"['왼쪽', '말풍선', '조선', '외교', '사안', '생각', '질문', '말', '사람', '김홍집', '제시', '오른쪽', '말풍선', '러시아', '것', '중국', '일본', '관계', '미국', '연계', '자강', '도모', '내용', '중국', '결', '일본', '미국', '외교', '정책', '사실', '러시아', '견제', '책', '주장', '것', '황준헌', '말', '것', '제시', '제시', '자료', '고종', '년', '년', '5월', '음력', '차', '수신사', '일본', '파견', '김홍집', '당시', '주일', '청국', '외교관', '참', '찬', '황준헌', '대화', '수', '황준헌', '자신', '주장', '조선책략', '김홍집', '김홍집', '귀국', '후', '고종', '고종', '조정', '신하', '유림', '조선책략', '의견', '이만손', '등', '조선책략', '영향', '미국', '포함', '서구', '열강', '수교', '개방', '정책', '조선', '조정', '채택', '반대', '일종', '집단', '척', '상', '소인', '영남', '만인소', '것', '1881년', '고종', '2월', '일', '조미 수호 통상 조약', '체결', '것', '1882년', '고종', '5월', '일', '서구', '열강', '최초', '조약']"
advanced4732,"['역사', '현장', '제목', '하', '답사', '장소', '제시', '번', '영국군', '묘지', '러시아', '견제', '구실', '무단', '점령', '영국군', '묘지', '소개', '글', '제시', '년', '4월', '영국군', '거문도', '전남', '여수시', '삼산면', '섬', '불법', '점령', '사건', '것', '수', '있다', '년', '2월', '주둔', '번', '임병찬', '순지', '비', '고종', '독립', '의', '군부', '조직', '한', '독립운동', '가', '임병찬', '유배', '순국', '것', '비', '소개', '글', '제시', '임병찬', '년', '일본', '경찰', '체포', '거문도', '유배', '바', '년', '5월', '순국', '참고', '임병찬', '스승', '인물', '면', '암', '최익현']"
advanced4733,"['왼쪽', '말풍선', '얼마', '전', '정부', '교정청', '폐지', '군국기무처', '설치', '대대적', '개혁', '단행', '말', '차', '갑오개혁', '것', '수', '있다', '오른쪽', '말풍선', '은본위제', '채택', '포함', '안건', '처리', '내용', '건양', '연호', '채택', '것', '을미개혁', '때', '일', '이다', '차', '갑오개혁', '때', '채택', '연호', '개국', '이다', '청', '종', '주권', '부인', '청', '연호', '사용', '개국', '기년', '사용']"
advanced4734,"['녹두', '꽃', '제목', '하', '동학 농민 운동', '전개', '과정', '시간', '순', '추구', '사회', '모습', '내용', '장면', '구성', '내용', '장면', '동학', '농민군', '정부', '전주 화약', '체결', '사이', '동학', '농민군', '지도자', '전봉준', '체포', '내용', '동학', '농민군', '정부', '전주 화약', '체결', '것', '년', '5월 8일', '동학', '농민군', '지도자', '전봉준', '체포', '것', '동년', '1894년', '12월 2일', '일', '동학', '농민군', '이', '우금치', '관군', '일본군', '시작', '것', '년', '11월 9일', '일', '이다', '우금치 전투', '이후', '간', '혈전', '동학', '농민군', '화력', '열세', '만회', '대패']"
advanced4735,"['왕이', '경복궁', '이범진', '이윤용', '등', '러시아', '공사관', '내용', '김홍집', '등', '군중', '살해', '유길준', '장', '박', '등', '도주', '내용', '고종', '년', '2월 11일', '양력', '러시아', '공사', '친미파', '이범진', '이완용', '이윤용', '등', '도움', '러시아', '공사관', '거처', '아', '파', '천', '것', '수', '오늘', '대군주', '폐하', '조', '칙', '짐', '신민', '머리카락', '짐', '뜻', '만국', '대업', '이루라', '내용', '을미개혁', '일환', '추진', '단발령', '관련', '것', '수', '단발령', '시행', '것', '음력', '년', '11월 17일', '양력', '년', '1월 1일', '해당', '음력', '년', '11월 15일', '공포', '광화문', '일본', '병사', '건청궁', '침입', '왕후', '수색', '왕후', '시해', '내용', '년', '10월 8일', '양력', '음력', '년', '8월 20일', '을미사변', '명성', '황후', '시', '사건', '수', '제시', '자료', '순서', '나열']"
advanced4736,"['신하', '백성', '차례', '글', '목소리', '황제', '칭호', '간청', '내용', '백악산', '남쪽', '하늘', '땅', '제사', '황제', '자리', '나라', '이름', '대한', '올해', '광무', '원년', '내용', '제시', '자료', '조서', '제국', '선포', '관련', '것', '수', '있다', '대한', '제국', '수립', '년', '10월 12일', '군', '통', '수권', '장악', '원수부', '설치', '것', '고종', '36년', '광무', '3년', '년', '6월', '일', '이다', '황제', '강화']"
